Url,Title,MRP,Price,Shipping,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,
"https://www.amazon.in/dp/B017IAH9XU?m=AT95IG9ONZD7S&ref_=v_sp_detail_page","MamyPoko Large Size Pants (64 Count)","930.00","651.00","FREE Delivery","Cloudtail India","NA","Size:Large  |  Unit Count:641. Crisscross Absorbent sheet– The sheet has cross embossed pattern lines on the absorbent sheet of the diaper which ensures that urine is evenly spread to all parts of the diaper ensuring diaper is not bulky at one point, rather its evenly spread and soaked all across diaper.2. BREATHABLE COTTON-LIKE COVER – MamyPoko Pants comes with unique breathable cotton like cover which allows air to pass through that makes baby more comfortable for longer time.3. All-round elastic wide band – MamyPoko Pants are made with special All-round elastic waist band which ensures that the baby is comfortable without being tight or lose on baby’s body. This band is gentle on the skin and takes the shape of baby’s body. MamyPoko Pants prevents leakage making the baby feel fresh even after usage of upto 12 hours.4. Winnie the Pooh – MamyPoko Pants comes in special designs of your baby’s favourite character from the house of Disney.5. Urine absorbency – MamyPoko extra absorb diaper prevents leakage and it can absorb up to 7 glasses of urine, hence baby feels light up to 12 hours.6. Baby Weight - MamyPoko pant style medium size diaper suits babies with the weight in the range of 9-14 kg","Crisscross Absorbent sheet of MamyPoko diaper soaks upto 7 glasses of urine","For Large size of MamyPoko Pants - 1 Glass = 50 ml (Total Absorbency = 7*50 ml = 350 ml)","Crisscross absorbent sheet ensure that the diaper is not heavy on any 1 point rather the urine is evenly &equally absorbed across the diaper, hence baby remain comfortable even after being in it for upto 12 hours.","MamyPoko diapers have Breathable Cotton Like cover which ensure humidity to pass through, which makes baby comfortable. Breathable material of the diaper ensures the baby is fresh and light all the time","All-round soft elastic band provides perfect fitting & comfort to the child &child's skin which is best suitable for babies from weight 9 Kg. to 14 Kg","http://ecx.images-amazon.com/images/I/51m2jmwBTwL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51Ldbypmv5L._SS40_.jpg","http://ecx.images-amazon.com/images/I/51TXkszepCL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51N%2Bt7C3guL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51Jw3bxWvWL._SS40_.jpg","Baby","Diapering & Nappy Changing","Diapers","Diaper Pants","NA",
"https://www.amazon.in/dp/B072LS6PKD?m=AT95IG9ONZD7S&ref_=v_sp_detail_page","Premsons Fidget Spinner 608 Four Bearing Ultra Speed Tri-Spinner Hand Spin Toy - White + Black Wing Bearings","499.00","163.00","FREE Delivery","Cloudtail India","NA","Looking for a sneaky, fun tool that can help you put stress and anxiety at bay? If you or your loved one has adhd anxiety, this 360 Spinner will help. It's also an incredibly cool pass-time accessory and a lovely play toy for your kids as well. You'll find the premsons anti-anxiety 360 spinner easy to use. There's no more getting bored when waiting for someone or chilling out for something to happen. Our 360 Spinner also provokes deeper thoughts and thus facilitates increased focus. Simply hold this spinner in one hand then use your other hand to spin it rapidly using small continuous strikes to keep it spinning indefinitely. It'll take a little bit of practice to get some decent action going, but it's super easy to happen plus you'll be thrilled by the fast and length spins.","Ultra-durable to ensure longevity and smooth rotation, easy to carry, small, simple, discrete and fun","Great toy for fidgeters, anxiety, focusing, adhd, autism, quitting bad habits and staying awake","Like all bearings and spinning fidget toys, it takes time spinning and breaking-in to achieve longer spinner times, the more you spin the toy, the longer it will last","Bring out that creative genius lying deep within you by increasing your concentration any time on the go, whether you're at home, at school, or at the workplace, the 360 spinner helps you find new perspectives as you put your brain to use, whether studying, brainstorming, researching, etc","Hold spinner in one hand and use the other hand to spin it rapidly using small continuous strikes to keep it spinning indefinitely with practice, spinners can be spun using one hand only using the fingers of one hand to stop and start spinning","http://ecx.images-amazon.com/images/I/51W9PR0eW6L._SS40_.jpg","http://ecx.images-amazon.com/images/I/61AI4aCjdoL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51zjdiwi-cL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51aUNnaEWZL._SS40_.jpg","http://ecx.images-amazon.com/images/I/515rlRzIeaL._SS40_.jpg","Toys & Games","Learning & Education","Special Needs Developmental Toys","NA","NA",
"https://www.amazon.in/dp/B00L8PEEAI?m=AT95IG9ONZD7S&ref_=v_sp_detail_page","Philips Beard Trimmer Cordless for Men QT4001/15","1,475.00","1,149.00","FREE Delivery","Cloudtail India","NA","When you want to look your very best, Philips has the right grooming solution for you. Philips combines technology with design & the trimmers last up to 4 x longer vs. ordinary trimmers . The Philips beard trimmer delivers an effortless, even result time after time. Self-sharpening blades are long lasting and stay as sharp as on day one , while rounded tips and combs are gentle on your skin preventing irritation.","Long lasting performance due to DuraPower technology","Up to 45 minutes of cordless power after 10 hours of charging","Skin-friendly rounded tips for smooth trimming","10 lock-in length settings, 1 - 10mm with 1mm precision","Self-sharpening stainless steel blades","http://ecx.images-amazon.com/images/I/31fuXl7Q5NL._SS40_.jpg","http://ecx.images-amazon.com/images/I/41encFkeOmL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51cJbFuu8nL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51PMOwBvfrL._SS40_.jpg","http://ecx.images-amazon.com/images/I/414oLCXOGJL._SS40_.jpg","Health & Personal Care","Personal Care","Shaving & Hair Removal","Trimmers & Clippers","Beard Trimmers",
"https://www.amazon.in/dp/B06Y63B51W?m=AT95IG9ONZD7S&ref_=v_sp_detail_page","Samsung EVO Plus Grade 1, Class 10 32GB MicroSDHC 95 MB/S Memory Card with SD Adapter (MB-MC32GA/IN)","1,149.00","848.00","FREE Delivery","Cloudtail India","NA","NA","Free up your devices with the largest capacity and highest read/write speeds in Samsung's class, perfect for full HD video - with astonishing performance and reliability, Evo Plus lets you save and treasure the richness of life","Record and play full HD video - with ultra-fast read and write speeds up to 95mbps and 20mbps respectively, the 32GB Evo Plus lets you transfer a 3GB video to your notebook in just 38 seconds","Never worry about space again - with massive amounts of storage the 32GB Evo Plus is enough memory for up to 1 hour and 30 minutes of 4K UHD video, 4 hours of full HD video, 7,500 photos or 3,000 songs","Compatible with a wide range of devices for both SD and micro SD","You can even capture detailed full HD video","http://ecx.images-amazon.com/images/I/41flNfpUo1L._SS40_.jpg","http://ecx.images-amazon.com/images/I/41xc-9XmUsL._SS40_.jpg","http://ecx.images-amazon.com/images/I/412qT2fANBL._SS40_.jpg","http://ecx.images-amazon.com/images/I/41a%2BKL1AL4L._SS40_.jpg","http://ecx.images-amazon.com/images/I/41ds3ZmsDOL._SS40_.jpg","Electronics","Accessories","Memory Cards","Micro SD","NA",
"https://www.amazon.in/dp/B01CG13CW8?m=AT95IG9ONZD7S&ref_=v_sp_detail_page","Pampers Medium Size Diapers Pants (Pack of 56)","699.00","524.00","FREE Delivery","Cloudtail India","NA","Size:Medium  |  Unit Count:56Cottony Comfort and Easy to Use: Let your baby's skin breathe easy with the airy, soft comfort offered by the Pampers diaper pants. With an outer layer of cotton-like softness, this baby diaper provides intense care to your baby's sensitive skin and protects it effectively from friction rash and redness. Featuring pant style design, these Pamper diapers are easy to put on your baby and change, which comes as a great help to mothers. Your little one will find it interesting too, as it comes with a colourful cartoon picture in the front. Offering complete care and protection, these baby diaper pants will help keep your baby smiling and comfortable at all times. Gentle Care and Nourishment for Your Little One: Your baby will laugh and play in comfort wearing the Pampers diaper pants. This diaper is infused with baby lotion, which moisturizes and nourishes your baby's skin and protects it from diaper rash, roughness and irritation. With Magic gel layer, these baby diaper pants effectively absorb up to 6 glasses of fluid from the surface of the diaper and protect your baby's delicate skin from rash and inflammation caused by wetness. By offering up to 12 hours of dryness, these Pampers diaper pants remain dry for a long time, so that you do not have to change the diaper frequently through the night.","India's driest pants","Up to 12 hours of dryness with pampers magic gel technology","Keeps baby skin fresh with breathable soft belt and cuffs","Comfortable fit with flexible waistband","Faster absorbtion with larger absorbancy zone inside diapers","http://ecx.images-amazon.com/images/I/41zmnRrilWL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51CJ39WI7VL._SS40_.jpg","http://ecx.images-amazon.com/images/I/517QSMWLvwL._SS40_.jpg","http://ecx.images-amazon.com/images/I/41e7pnNnm9L._SS40_.jpg","http://ecx.images-amazon.com/images/I/51JMtVREkQL._SS40_.jpg","Baby","Diapering & Nappy Changing","Diapers","Diaper Pants","NA",
"https://www.amazon.in/dp/B071CZKWPS?m=AT95IG9ONZD7S&ref_=v_sp_detail_page","Fidget Spinner 608 Four Bearing Amazing Spin Time ! Premium Quality ABS Material Hand Spinner Tri-Spinner Speed Toy - Black","799.00","168.00","FREE Delivery","Cloudtail India","NA","Color:BlackThis performance spinner is injection molded from ABS plastic. This results in a better finish, higher strength, and much higher shatter resistance when compared to more common 3D printed spinners. The high performance bearing in the centre allows higher spinning time, and glides effortlessly in your hands. The sides have been created wisely to give the spinner additional inertia for long spins, and each side also provides great off-centre fidgeting fun.","Perfect toy for fidgeters","Ultra durable to ensure longevity and smooth rotation","Great for anxiety, ADHD, autism, quit smoking, staying awake on long car drives, etc","Like all bearings and spinning fidget toys, it takes time spinning and breaking in to achieve longer spinner times, the more you spin the toy, the longer it will last","Bring out that creative genius lying deep within you by increasing your concentration any time on the go, whether you're at home, at school, or at the workplace","http://ecx.images-amazon.com/images/I/51iv7yw13iL._SS40_.jpg","http://ecx.images-amazon.com/images/I/41KHeN94kyL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51QS4UQNGYL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51P2BgapjrL._SS40_.jpg","http://ecx.images-amazon.com/images/I/51e-SJuCggL._SS40_.jpg","Toys & Games","Learning & Education","Special Needs Developmental Toys","NA","NA",
